timestamp,beats per minute,data source
2025-08-12T00:05:35Z,62.0,Sense 2
2025-08-12T00:05:38Z,62.0,Sense 2
2025-08-12T00:05:41Z,62.0,Sense 2
2025-08-12T00:05:44Z,62.0,Sense 2
2025-08-12T00:05:46Z,61.0,Sense 2
2025-08-12T00:05:49Z,61.0,Sense 2
2025-08-12T00:05:52Z,61.0,Sense 2
2025-08-12T00:05:55Z,61.0,Sense 2
2025-08-12T00:05:58Z,61.0,Sense 2
2025-08-12T00:06:01Z,61.0,Sense 2
2025-08-12T00:06:04Z,61.0,Sense 2
2025-08-12T00:06:07Z,61.0,Sense 2
2025-08-12T00:06:10Z,61.0,Sense 2
2025-08-12T00:06:13Z,61.0,Sense 2
2025-08-12T00:06:15Z,62.0,Sense 2
2025-08-12T00:06:18Z,62.0,Sense 2
2025-08-12T00:06:21Z,62.0,Sense 2
2025-08-12T00:06:24Z,62.0,Sense 2
2025-08-12T00:06:27Z,62.0,Sense 2
2025-08-12T00:06:30Z,62.0,Sense 2
2025-08-12T00:06:33Z,62.0,Sense 2
2025-08-12T00:06:36Z,62.0,Sense 2
2025-08-12T00:06:39Z,62.0,Sense 2
2025-08-12T00:06:40Z,62.0,Sense 2
2025-08-12T00:06:43Z,62.0,Sense 2
2025-08-12T00:06:46Z,62.0,Sense 2
2025-08-12T00:06:47Z,61.0,Sense 2
2025-08-12T00:06:50Z,61.0,Sense 2
2025-08-12T00:06:53Z,62.0,Sense 2
2025-08-12T00:06:56Z,62.0,Sense 2
2025-08-12T00:06:59Z,62.0,Sense 2
2025-08-12T00:07:02Z,62.0,Sense 2
2025-08-12T00:07:05Z,62.0,Sense 2
2025-08-12T00:07:08Z,62.0,Sense 2
2025-08-12T00:07:11Z,62.0,Sense 2
2025-08-12T00:07:14Z,62.0,Sense 2
2025-08-12T00:07:17Z,62.0,Sense 2
2025-08-12T00:07:20Z,62.0,Sense 2
2025-08-12T00:07:23Z,62.0,Sense 2
2025-08-12T00:07:26Z,62.0,Sense 2
2025-08-12T00:07:29Z,62.0,Sense 2
2025-08-12T00:07:32Z,61.0,Sense 2
2025-08-12T00:07:35Z,61.0,Sense 2
2025-08-12T00:07:37Z,60.0,Sense 2
2025-08-12T00:07:40Z,60.0,Sense 2
2025-08-12T00:07:41Z,61.0,Sense 2
2025-08-12T00:07:44Z,61.0,Sense 2
2025-08-12T00:07:47Z,61.0,Sense 2
2025-08-12T00:07:50Z,61.0,Sense 2
2025-08-12T00:07:53Z,61.0,Sense 2
2025-08-12T00:07:55Z,61.0,Sense 2
2025-08-12T00:07:58Z,61.0,Sense 2
2025-08-12T00:08:01Z,61.0,Sense 2
2025-08-12T00:08:02Z,62.0,Sense 2
2025-08-12T00:08:04Z,61.0,Sense 2
2025-08-12T00:08:06Z,62.0,Sense 2
2025-08-12T00:08:08Z,61.0,Sense 2
2025-08-12T00:08:11Z,61.0,Sense 2
2025-08-12T00:08:14Z,61.0,Sense 2
2025-08-12T00:08:17Z,61.0,Sense 2
2025-08-12T00:08:20Z,61.0,Sense 2
2025-08-12T00:08:23Z,61.0,Sense 2
2025-08-12T00:08:25Z,62.0,Sense 2
2025-08-12T00:08:28Z,62.0,Sense 2
2025-08-12T00:08:29Z,62.0,Sense 2
2025-08-12T00:08:32Z,62.0,Sense 2
2025-08-12T00:08:35Z,62.0,Sense 2
2025-08-12T00:08:37Z,62.0,Sense 2
2025-08-12T00:08:40Z,62.0,Sense 2
2025-08-12T00:08:43Z,61.0,Sense 2
2025-08-12T00:08:46Z,60.0,Sense 2
2025-08-12T00:08:49Z,60.0,Sense 2
2025-08-12T00:08:52Z,60.0,Sense 2
2025-08-12T00:08:55Z,60.0,Sense 2
2025-08-12T00:08:58Z,60.0,Sense 2
2025-08-12T00:09:01Z,60.0,Sense 2
2025-08-12T00:09:04Z,60.0,Sense 2
2025-08-12T00:09:05Z,60.0,Sense 2
2025-08-12T00:09:08Z,60.0,Sense 2
2025-08-12T00:09:11Z,60.0,Sense 2
2025-08-12T00:09:14Z,60.0,Sense 2
2025-08-12T00:09:17Z,60.0,Sense 2
2025-08-12T00:09:20Z,60.0,Sense 2
2025-08-12T00:09:23Z,60.0,Sense 2
2025-08-12T00:09:26Z,60.0,Sense 2
2025-08-12T00:09:29Z,60.0,Sense 2
2025-08-12T00:09:32Z,60.0,Sense 2
2025-08-12T00:09:35Z,60.0,Sense 2
2025-08-12T00:09:38Z,60.0,Sense 2
2025-08-12T00:09:41Z,60.0,Sense 2
2025-08-12T00:09:44Z,60.0,Sense 2
2025-08-12T00:09:47Z,60.0,Sense 2
2025-08-12T00:09:50Z,60.0,Sense 2
2025-08-12T00:09:51Z,60.0,Sense 2
2025-08-12T00:09:54Z,60.0,Sense 2
2025-08-12T00:09:55Z,60.0,Sense 2
2025-08-12T00:09:56Z,61.0,Sense 2
2025-08-12T00:09:59Z,61.0,Sense 2
2025-08-12T00:10:00Z,62.0,Sense 2
2025-08-12T00:10:03Z,62.0,Sense 2
2025-08-12T00:10:04Z,61.0,Sense 2
2025-08-12T00:10:07Z,61.0,Sense 2
2025-08-12T00:10:10Z,61.0,Sense 2
2025-08-12T00:10:13Z,61.0,Sense 2
2025-08-12T00:10:14Z,61.0,Sense 2
2025-08-12T00:10:17Z,61.0,Sense 2
2025-08-12T00:10:20Z,61.0,Sense 2
2025-08-12T00:10:23Z,61.0,Sense 2
2025-08-12T00:10:25Z,62.0,Sense 2
2025-08-12T00:10:28Z,62.0,Sense 2
2025-08-12T00:10:29Z,61.0,Sense 2
2025-08-12T00:10:32Z,61.0,Sense 2
2025-08-12T00:10:35Z,61.0,Sense 2
2025-08-12T00:10:38Z,61.0,Sense 2
2025-08-12T00:10:41Z,62.0,Sense 2
2025-08-12T00:10:43Z,61.0,Sense 2
2025-08-12T00:10:46Z,61.0,Sense 2
2025-08-12T00:10:49Z,61.0,Sense 2
2025-08-12T00:10:52Z,61.0,Sense 2
2025-08-12T00:10:54Z,62.0,Sense 2
2025-08-12T00:10:57Z,62.0,Sense 2
2025-08-12T00:11:00Z,62.0,Sense 2
2025-08-12T00:11:03Z,62.0,Sense 2
2025-08-12T00:11:06Z,62.0,Sense 2
2025-08-12T00:11:09Z,62.0,Sense 2
2025-08-12T00:11:12Z,62.0,Sense 2
2025-08-12T00:11:15Z,62.0,Sense 2
2025-08-12T00:11:18Z,62.0,Sense 2
2025-08-12T00:11:21Z,62.0,Sense 2
2025-08-12T00:11:24Z,62.0,Sense 2
2025-08-12T00:11:27Z,62.0,Sense 2
2025-08-12T00:11:29Z,63.0,Sense 2
2025-08-12T00:11:31Z,64.0,Sense 2
2025-08-12T00:11:32Z,65.0,Sense 2
2025-08-12T00:11:34Z,67.0,Sense 2
2025-08-12T00:11:36Z,66.0,Sense 2
2025-08-12T00:11:38Z,68.0,Sense 2
2025-08-12T00:11:41Z,68.0,Sense 2
2025-08-12T00:11:42Z,68.0,Sense 2
2025-08-12T00:11:45Z,68.0,Sense 2
2025-08-12T00:11:48Z,67.0,Sense 2
2025-08-12T00:11:50Z,66.0,Sense 2
2025-08-12T00:11:52Z,66.0,Sense 2
2025-08-12T00:11:55Z,66.0,Sense 2
2025-08-12T00:11:56Z,65.0,Sense 2
2025-08-12T00:11:57Z,64.0,Sense 2
2025-08-12T00:12:00Z,64.0,Sense 2
2025-08-12T00:12:03Z,63.0,Sense 2
2025-08-12T00:12:05Z,62.0,Sense 2
2025-08-12T00:12:08Z,62.0,Sense 2
2025-08-12T00:12:11Z,62.0,Sense 2
2025-08-12T00:12:14Z,62.0,Sense 2
2025-08-12T00:12:15Z,62.0,Sense 2
2025-08-12T00:12:18Z,62.0,Sense 2
2025-08-12T00:12:20Z,64.0,Sense 2
2025-08-12T00:12:22Z,66.0,Sense 2
2025-08-12T00:12:24Z,66.0,Sense 2
2025-08-12T00:12:27Z,66.0,Sense 2
2025-08-12T00:12:28Z,65.0,Sense 2
2025-08-12T00:12:30Z,64.0,Sense 2
2025-08-12T00:12:33Z,64.0,Sense 2
2025-08-12T00:12:36Z,63.0,Sense 2
2025-08-12T00:12:38Z,62.0,Sense 2
2025-08-12T00:12:41Z,62.0,Sense 2
2025-08-12T00:12:44Z,62.0,Sense 2
2025-08-12T00:12:47Z,63.0,Sense 2
2025-08-12T00:12:50Z,63.0,Sense 2
2025-08-12T00:12:51Z,63.0,Sense 2
2025-08-12T00:12:54Z,63.0,Sense 2
2025-08-12T00:12:57Z,63.0,Sense 2
2025-08-12T00:12:59Z,63.0,Sense 2
2025-08-12T00:13:01Z,62.0,Sense 2
2025-08-12T00:13:04Z,62.0,Sense 2
2025-08-12T00:13:07Z,62.0,Sense 2
2025-08-12T00:13:10Z,62.0,Sense 2
2025-08-12T00:13:13Z,62.0,Sense 2
2025-08-12T00:13:16Z,62.0,Sense 2
2025-08-12T00:13:19Z,62.0,Sense 2
2025-08-12T00:13:20Z,63.0,Sense 2
2025-08-12T00:13:22Z,64.0,Sense 2
2025-08-12T00:13:25Z,64.0,Sense 2
2025-08-12T00:13:26Z,66.0,Sense 2
2025-08-12T00:13:28Z,65.0,Sense 2
2025-08-12T00:13:30Z,66.0,Sense 2
2025-08-12T00:13:33Z,66.0,Sense 2
2025-08-12T00:13:35Z,68.0,Sense 2
2025-08-12T00:13:37Z,69.0,Sense 2
2025-08-12T00:13:39Z,70.0,Sense 2
2025-08-12T00:13:42Z,70.0,Sense 2
2025-08-12T00:13:45Z,70.0,Sense 2
2025-08-12T00:13:47Z,72.0,Sense 2
2025-08-12T00:13:49Z,73.0,Sense 2
2025-08-12T00:13:51Z,72.0,Sense 2
2025-08-12T00:13:53Z,72.0,Sense 2
2025-08-12T00:13:56Z,70.0,Sense 2
2025-08-12T00:13:59Z,70.0,Sense 2
2025-08-12T00:14:02Z,69.0,Sense 2
2025-08-12T00:14:05Z,69.0,Sense 2
2025-08-12T00:14:06Z,68.0,Sense 2
2025-08-12T00:14:09Z,68.0,Sense 2
2025-08-12T00:14:10Z,67.0,Sense 2
2025-08-12T00:14:12Z,68.0,Sense 2
2025-08-12T00:14:14Z,67.0,Sense 2
2025-08-12T00:14:17Z,67.0,Sense 2
2025-08-12T00:14:18Z,66.0,Sense 2
2025-08-12T00:14:21Z,66.0,Sense 2
2025-08-12T00:14:24Z,66.0,Sense 2
2025-08-12T00:14:27Z,67.0,Sense 2
2025-08-12T00:14:29Z,68.0,Sense 2
2025-08-12T00:14:31Z,71.0,Sense 2
2025-08-12T00:14:34Z,71.0,Sense 2
2025-08-12T00:14:35Z,70.0,Sense 2
2025-08-12T00:14:37Z,70.0,Sense 2
2025-08-12T00:14:39Z,71.0,Sense 2
2025-08-12T00:14:41Z,69.0,Sense 2
2025-08-12T00:14:43Z,70.0,Sense 2
2025-08-12T00:14:44Z,69.0,Sense 2
2025-08-12T00:14:47Z,69.0,Sense 2
2025-08-12T00:14:48Z,70.0,Sense 2
2025-08-12T00:14:50Z,69.0,Sense 2
2025-08-12T00:14:53Z,69.0,Sense 2
2025-08-12T00:14:56Z,69.0,Sense 2
2025-08-12T00:14:58Z,71.0,Sense 2
2025-08-12T00:15:00Z,72.0,Sense 2
2025-08-12T00:15:03Z,72.0,Sense 2
2025-08-12T00:15:06Z,72.0,Sense 2
2025-08-12T00:15:08Z,71.0,Sense 2
2025-08-12T00:15:11Z,71.0,Sense 2
2025-08-12T00:15:14Z,71.0,Sense 2
2025-08-12T00:15:17Z,72.0,Sense 2
2025-08-12T00:15:19Z,71.0,Sense 2
2025-08-12T00:15:21Z,72.0,Sense 2
2025-08-12T00:15:23Z,73.0,Sense 2
2025-08-12T00:15:25Z,74.0,Sense 2
2025-08-12T00:15:27Z,75.0,Sense 2
2025-08-12T00:15:29Z,76.0,Sense 2
2025-08-12T00:15:32Z,75.0,Sense 2
2025-08-12T00:15:35Z,75.0,Sense 2
2025-08-12T00:15:38Z,76.0,Sense 2
2025-08-12T00:15:40Z,77.0,Sense 2
2025-08-12T00:15:43Z,77.0,Sense 2
2025-08-12T00:15:44Z,76.0,Sense 2
2025-08-12T00:15:46Z,75.0,Sense 2
2025-08-12T00:15:49Z,75.0,Sense 2
2025-08-12T00:15:50Z,74.0,Sense 2
2025-08-12T00:15:53Z,74.0,Sense 2
2025-08-12T00:15:54Z,73.0,Sense 2
2025-08-12T00:15:56Z,74.0,Sense 2
2025-08-12T00:15:57Z,75.0,Sense 2
2025-08-12T00:16:00Z,75.0,Sense 2
2025-08-12T00:16:03Z,75.0,Sense 2
2025-08-12T00:16:05Z,76.0,Sense 2
2025-08-12T00:16:07Z,77.0,Sense 2
2025-08-12T00:16:09Z,76.0,Sense 2
2025-08-12T00:16:11Z,75.0,Sense 2
2025-08-12T00:16:13Z,76.0,Sense 2
2025-08-12T00:16:16Z,76.0,Sense 2
2025-08-12T00:16:19Z,76.0,Sense 2
2025-08-12T00:16:22Z,76.0,Sense 2
2025-08-12T00:16:25Z,76.0,Sense 2
2025-08-12T00:16:28Z,76.0,Sense 2
2025-08-12T00:16:31Z,76.0,Sense 2
2025-08-12T00:16:34Z,76.0,Sense 2
2025-08-12T00:16:37Z,76.0,Sense 2
2025-08-12T00:16:40Z,76.0,Sense 2
2025-08-12T00:16:42Z,77.0,Sense 2
2025-08-12T00:16:44Z,77.0,Sense 2
2025-08-12T00:16:45Z,76.0,Sense 2
2025-08-12T00:16:48Z,76.0,Sense 2
2025-08-12T00:16:49Z,75.0,Sense 2
2025-08-12T00:16:51Z,74.0,Sense 2
2025-08-12T00:16:54Z,74.0,Sense 2
2025-08-12T00:16:57Z,74.0,Sense 2
2025-08-12T00:16:59Z,75.0,Sense 2
2025-08-12T00:17:02Z,75.0,Sense 2
2025-08-12T00:17:03Z,76.0,Sense 2
2025-08-12T00:17:05Z,77.0,Sense 2
2025-08-12T00:17:08Z,78.0,Sense 2
2025-08-12T00:17:11Z,78.0,Sense 2
2025-08-12T00:17:12Z,77.0,Sense 2
2025-08-12T00:17:14Z,76.0,Sense 2
2025-08-12T00:17:17Z,76.0,Sense 2
2025-08-12T00:17:18Z,75.0,Sense 2
2025-08-12T00:17:20Z,76.0,Sense 2
2025-08-12T00:17:23Z,76.0,Sense 2
2025-08-12T00:17:26Z,75.0,Sense 2
2025-08-12T00:17:28Z,77.0,Sense 2
2025-08-12T00:17:31Z,77.0,Sense 2
2025-08-12T00:17:32Z,78.0,Sense 2
2025-08-12T00:17:35Z,78.0,Sense 2
2025-08-12T00:17:37Z,79.0,Sense 2
2025-08-12T00:17:40Z,79.0,Sense 2
2025-08-12T00:17:43Z,79.0,Sense 2
2025-08-12T00:17:45Z,79.0,Sense 2
2025-08-12T00:17:47Z,78.0,Sense 2
2025-08-12T00:17:50Z,78.0,Sense 2
2025-08-12T00:17:51Z,77.0,Sense 2
2025-08-12T00:17:53Z,75.0,Sense 2
2025-08-12T00:17:56Z,75.0,Sense 2
2025-08-12T00:17:59Z,75.0,Sense 2
2025-08-12T00:18:00Z,76.0,Sense 2
2025-08-12T00:18:02Z,78.0,Sense 2
2025-08-12T00:18:05Z,78.0,Sense 2
2025-08-12T00:18:06Z,79.0,Sense 2
2025-08-12T00:18:09Z,79.0,Sense 2
2025-08-12T00:18:10Z,78.0,Sense 2
2025-08-12T00:18:12Z,77.0,Sense 2
2025-08-12T00:18:14Z,76.0,Sense 2
2025-08-12T00:18:16Z,75.0,Sense 2
2025-08-12T00:18:18Z,74.0,Sense 2
2025-08-12T00:18:21Z,73.0,Sense 2
2025-08-12T00:18:24Z,73.0,Sense 2
2025-08-12T00:18:25Z,74.0,Sense 2
2025-08-12T00:18:27Z,73.0,Sense 2
2025-08-12T00:18:29Z,72.0,Sense 2
2025-08-12T00:18:32Z,72.0,Sense 2
2025-08-12T00:18:35Z,72.0,Sense 2
2025-08-12T00:18:38Z,72.0,Sense 2
2025-08-12T00:18:39Z,73.0,Sense 2
2025-08-12T00:18:41Z,74.0,Sense 2
2025-08-12T00:18:43Z,74.0,Sense 2
2025-08-12T00:18:46Z,75.0,Sense 2
2025-08-12T00:18:48Z,76.0,Sense 2
2025-08-12T00:18:51Z,76.0,Sense 2
2025-08-12T00:18:54Z,77.0,Sense 2
2025-08-12T00:18:56Z,76.0,Sense 2
2025-08-12T00:18:59Z,76.0,Sense 2
2025-08-12T00:19:02Z,76.0,Sense 2
2025-08-12T00:19:05Z,76.0,Sense 2
2025-08-12T00:19:06Z,77.0,Sense 2
2025-08-12T00:19:09Z,77.0,Sense 2
2025-08-12T00:19:12Z,77.0,Sense 2
2025-08-12T00:19:13Z,76.0,Sense 2
2025-08-12T00:19:15Z,75.0,Sense 2
2025-08-12T00:19:17Z,76.0,Sense 2
2025-08-12T00:19:19Z,75.0,Sense 2
2025-08-12T00:19:21Z,76.0,Sense 2
2025-08-12T00:19:23Z,75.0,Sense 2
2025-08-12T00:19:25Z,74.0,Sense 2
2025-08-12T00:19:27Z,75.0,Sense 2
2025-08-12T00:19:30Z,75.0,Sense 2
2025-08-12T00:19:31Z,76.0,Sense 2
2025-08-12T00:19:34Z,77.0,Sense 2
2025-08-12T00:19:36Z,76.0,Sense 2
2025-08-12T00:19:39Z,76.0,Sense 2
2025-08-12T00:19:42Z,76.0,Sense 2
2025-08-12T00:19:45Z,76.0,Sense 2
2025-08-12T00:19:46Z,76.0,Sense 2
2025-08-12T00:19:49Z,76.0,Sense 2
2025-08-12T00:19:50Z,77.0,Sense 2
2025-08-12T00:19:52Z,78.0,Sense 2
2025-08-12T00:19:54Z,79.0,Sense 2
2025-08-12T00:19:57Z,79.0,Sense 2
2025-08-12T00:19:59Z,78.0,Sense 2
2025-08-12T00:20:01Z,77.0,Sense 2
2025-08-12T00:20:03Z,78.0,Sense 2
2025-08-12T00:20:05Z,77.0,Sense 2
2025-08-12T00:20:08Z,77.0,Sense 2
2025-08-12T00:20:09Z,76.0,Sense 2
2025-08-12T00:20:11Z,74.0,Sense 2
2025-08-12T00:20:13Z,77.0,Sense 2
2025-08-12T00:20:15Z,76.0,Sense 2
2025-08-12T00:20:17Z,77.0,Sense 2
2025-08-12T00:20:19Z,80.0,Sense 2
2025-08-12T00:20:20Z,82.0,Sense 2
2025-08-12T00:20:22Z,81.0,Sense 2
2025-08-12T00:20:24Z,82.0,Sense 2
2025-08-12T00:20:27Z,82.0,Sense 2
2025-08-12T00:20:30Z,81.0,Sense 2
2025-08-12T00:20:33Z,81.0,Sense 2
2025-08-12T00:20:34Z,79.0,Sense 2
2025-08-12T00:20:36Z,80.0,Sense 2
2025-08-12T00:20:38Z,79.0,Sense 2
2025-08-12T00:20:40Z,77.0,Sense 2
2025-08-12T00:20:42Z,78.0,Sense 2
2025-08-12T00:20:45Z,77.0,Sense 2
2025-08-12T00:20:48Z,77.0,Sense 2
2025-08-12T00:20:51Z,77.0,Sense 2
2025-08-12T00:20:53Z,78.0,Sense 2
2025-08-12T00:20:55Z,80.0,Sense 2
2025-08-12T00:20:57Z,83.0,Sense 2
2025-08-12T00:21:00Z,83.0,Sense 2
2025-08-12T00:21:01Z,82.0,Sense 2
2025-08-12T00:21:03Z,80.0,Sense 2
2025-08-12T00:21:06Z,80.0,Sense 2
2025-08-12T00:21:08Z,79.0,Sense 2
2025-08-12T00:21:11Z,79.0,Sense 2
2025-08-12T00:21:14Z,80.0,Sense 2
2025-08-12T00:21:17Z,80.0,Sense 2
2025-08-12T00:21:20Z,81.0,Sense 2
2025-08-12T00:21:23Z,81.0,Sense 2
2025-08-12T00:21:24Z,82.0,Sense 2
2025-08-12T00:21:27Z,82.0,Sense 2
2025-08-12T00:21:28Z,83.0,Sense 2
2025-08-12T00:21:30Z,82.0,Sense 2
2025-08-12T00:21:33Z,82.0,Sense 2
2025-08-12T00:21:36Z,82.0,Sense 2
2025-08-12T00:21:39Z,81.0,Sense 2
2025-08-12T00:21:41Z,82.0,Sense 2
2025-08-12T00:21:43Z,83.0,Sense 2
2025-08-12T00:21:45Z,84.0,Sense 2
2025-08-12T00:21:47Z,84.0,Sense 2
2025-08-12T00:21:49Z,86.0,Sense 2
2025-08-12T00:21:51Z,83.0,Sense 2
2025-08-12T00:21:54Z,83.0,Sense 2
2025-08-12T00:21:55Z,84.0,Sense 2
2025-08-12T00:21:58Z,84.0,Sense 2
2025-08-12T00:22:01Z,84.0,Sense 2
2025-08-12T00:22:02Z,85.0,Sense 2
2025-08-12T00:22:04Z,86.0,Sense 2
2025-08-12T00:22:06Z,88.0,Sense 2
