timestamp,beats per minute,data source
2025-07-31T00:00:00Z,103.0,Sense 2
2025-07-31T00:00:02Z,102.0,Sense 2
2025-07-31T00:00:04Z,104.0,Sense 2
2025-07-31T00:00:06Z,100.0,Sense 2
2025-07-31T00:00:08Z,98.0,Sense 2
2025-07-31T00:00:10Z,99.0,Sense 2
2025-07-31T00:00:12Z,96.0,Sense 2
2025-07-31T00:00:14Z,98.0,Sense 2
2025-07-31T00:00:16Z,101.0,Sense 2
2025-07-31T00:00:18Z,100.0,Sense 2
2025-07-31T00:00:20Z,98.0,Sense 2
2025-07-31T00:00:21Z,97.0,Sense 2
2025-07-31T00:00:23Z,96.0,Sense 2
2025-07-31T00:00:25Z,96.0,Sense 2
2025-07-31T00:00:27Z,94.0,Sense 2
2025-07-31T00:00:29Z,93.0,Sense 2
2025-07-31T00:00:32Z,93.0,Sense 2
2025-07-31T00:00:35Z,91.0,Sense 2
2025-07-31T00:00:37Z,90.0,Sense 2
2025-07-31T00:00:39Z,92.0,Sense 2
2025-07-31T00:00:41Z,93.0,Sense 2
2025-07-31T00:00:43Z,91.0,Sense 2
2025-07-31T00:00:44Z,94.0,Sense 2
2025-07-31T00:00:47Z,94.0,Sense 2
2025-07-31T00:00:48Z,94.0,Sense 2
2025-07-31T00:00:50Z,97.0,Sense 2
2025-07-31T00:00:52Z,96.0,Sense 2
2025-07-31T00:00:54Z,92.0,Sense 2
2025-07-31T00:00:56Z,94.0,Sense 2
2025-07-31T00:00:58Z,93.0,Sense 2
2025-07-31T00:01:01Z,93.0,Sense 2
2025-07-31T00:01:02Z,92.0,Sense 2
2025-07-31T00:01:04Z,93.0,Sense 2
2025-07-31T00:01:06Z,98.0,Sense 2
2025-07-31T00:01:08Z,99.0,Sense 2
2025-07-31T00:01:09Z,96.0,Sense 2
2025-07-31T00:01:11Z,85.0,Sense 2
2025-07-31T00:01:13Z,82.0,Sense 2
2025-07-31T00:01:15Z,81.0,Sense 2
2025-07-31T00:01:17Z,78.0,Sense 2
2025-07-31T00:01:19Z,81.0,Sense 2
2025-07-31T00:01:21Z,80.0,Sense 2
2025-07-31T00:01:23Z,84.0,Sense 2
2025-07-31T00:01:25Z,91.0,Sense 2
2025-07-31T00:01:27Z,84.0,Sense 2
2025-07-31T00:01:29Z,81.0,Sense 2
2025-07-31T00:01:31Z,80.0,Sense 2
2025-07-31T00:01:32Z,81.0,Sense 2
2025-07-31T00:01:34Z,83.0,Sense 2
