timestamp,beats per minute,data source
2025-07-14T12:26:22Z,87.0,Sense 2
2025-07-14T12:26:25Z,87.0,Sense 2
2025-07-14T12:26:28Z,87.0,Sense 2
2025-07-14T12:26:29Z,86.0,Sense 2
2025-07-14T12:26:32Z,86.0,Sense 2
2025-07-14T12:26:33Z,86.0,Sense 2
2025-07-14T12:26:35Z,87.0,Sense 2
2025-07-14T12:26:37Z,87.0,Sense 2
2025-07-14T12:26:39Z,86.0,Sense 2
2025-07-14T12:26:41Z,85.0,Sense 2
2025-07-14T12:26:43Z,84.0,Sense 2
2025-07-14T12:26:45Z,85.0,Sense 2
2025-07-14T12:26:47Z,86.0,Sense 2
2025-07-14T12:26:49Z,85.0,Sense 2
2025-07-14T12:26:51Z,84.0,Sense 2
2025-07-14T12:26:54Z,84.0,Sense 2
2025-07-14T12:26:57Z,84.0,Sense 2
2025-07-14T12:26:58Z,87.0,Sense 2
2025-07-14T12:27:00Z,88.0,Sense 2
2025-07-14T12:27:03Z,88.0,Sense 2
2025-07-14T12:27:04Z,88.0,Sense 2
2025-07-14T12:27:07Z,88.0,Sense 2
2025-07-14T12:27:10Z,88.0,Sense 2
2025-07-14T12:27:12Z,87.0,Sense 2
2025-07-14T12:27:14Z,88.0,Sense 2
2025-07-14T12:27:16Z,90.0,Sense 2
2025-07-14T12:27:19Z,90.0,Sense 2
2025-07-14T12:27:21Z,88.0,Sense 2
2025-07-14T12:27:23Z,87.0,Sense 2
2025-07-14T12:27:25Z,88.0,Sense 2
2025-07-14T12:27:28Z,88.0,Sense 2
2025-07-14T12:27:31Z,86.0,Sense 2
2025-07-14T12:27:33Z,84.0,Sense 2
2025-07-14T12:27:36Z,84.0,Sense 2
2025-07-14T12:27:39Z,86.0,Sense 2
2025-07-14T12:27:42Z,86.0,Sense 2
2025-07-14T12:27:44Z,85.0,Sense 2
2025-07-14T12:27:47Z,85.0,Sense 2
2025-07-14T12:27:48Z,86.0,Sense 2
2025-07-14T12:27:50Z,87.0,Sense 2
2025-07-14T12:27:52Z,88.0,Sense 2
2025-07-14T12:27:55Z,88.0,Sense 2
2025-07-14T12:27:56Z,87.0,Sense 2
2025-07-14T12:27:59Z,87.0,Sense 2
2025-07-14T12:28:00Z,86.0,Sense 2
2025-07-14T12:28:02Z,85.0,Sense 2
2025-07-14T12:28:05Z,85.0,Sense 2
2025-07-14T12:28:07Z,84.0,Sense 2
2025-07-14T12:28:09Z,84.0,Sense 2
2025-07-14T12:28:12Z,84.0,Sense 2
2025-07-14T12:28:15Z,85.0,Sense 2
2025-07-14T12:28:17Z,87.0,Sense 2
2025-07-14T12:28:19Z,88.0,Sense 2
2025-07-14T12:28:22Z,88.0,Sense 2
2025-07-14T12:28:23Z,89.0,Sense 2
2025-07-14T12:28:25Z,90.0,Sense 2
2025-07-14T12:28:28Z,90.0,Sense 2
2025-07-14T12:28:31Z,90.0,Sense 2
2025-07-14T12:28:32Z,89.0,Sense 2
2025-07-14T12:28:34Z,86.0,Sense 2
2025-07-14T12:28:37Z,86.0,Sense 2
2025-07-14T12:28:38Z,87.0,Sense 2
2025-07-14T12:28:41Z,87.0,Sense 2
2025-07-14T12:28:42Z,86.0,Sense 2
2025-07-14T12:28:45Z,86.0,Sense 2
2025-07-14T12:28:48Z,87.0,Sense 2
2025-07-14T12:28:50Z,88.0,Sense 2
2025-07-14T12:28:53Z,88.0,Sense 2
2025-07-14T12:28:55Z,87.0,Sense 2
2025-07-14T12:28:57Z,86.0,Sense 2
2025-07-14T12:29:00Z,86.0,Sense 2
2025-07-14T12:29:03Z,86.0,Sense 2
2025-07-14T12:29:05Z,85.0,Sense 2
2025-07-14T12:29:07Z,84.0,Sense 2
2025-07-14T12:29:10Z,84.0,Sense 2
2025-07-14T12:29:13Z,84.0,Sense 2
2025-07-14T12:29:16Z,84.0,Sense 2
2025-07-14T12:29:18Z,82.0,Sense 2
2025-07-14T12:29:20Z,82.0,Sense 2
2025-07-14T12:29:22Z,82.0,Sense 2
2025-07-14T12:29:25Z,82.0,Sense 2
2025-07-14T12:29:26Z,82.0,Sense 2
2025-07-14T12:29:28Z,83.0,Sense 2
2025-07-14T12:29:30Z,84.0,Sense 2
2025-07-14T12:29:33Z,84.0,Sense 2
2025-07-14T12:29:36Z,84.0,Sense 2
2025-07-14T12:29:39Z,84.0,Sense 2
2025-07-14T12:29:41Z,83.0,Sense 2
2025-07-14T12:29:44Z,83.0,Sense 2
2025-07-14T12:29:47Z,84.0,Sense 2
2025-07-14T12:29:50Z,84.0,Sense 2
2025-07-14T12:29:51Z,85.0,Sense 2
2025-07-14T12:29:53Z,86.0,Sense 2
2025-07-14T12:29:55Z,89.0,Sense 2
2025-07-14T12:29:57Z,90.0,Sense 2
2025-07-14T12:29:59Z,89.0,Sense 2
2025-07-14T12:30:01Z,87.0,Sense 2
2025-07-14T12:30:03Z,86.0,Sense 2
2025-07-14T12:30:05Z,85.0,Sense 2
2025-07-14T12:30:08Z,85.0,Sense 2
2025-07-14T12:30:10Z,84.0,Sense 2
2025-07-14T12:30:12Z,83.0,Sense 2
2025-07-14T12:30:14Z,82.0,Sense 2
2025-07-14T12:30:16Z,80.0,Sense 2
2025-07-14T12:30:19Z,80.0,Sense 2
2025-07-14T12:30:20Z,81.0,Sense 2
2025-07-14T12:30:22Z,82.0,Sense 2
2025-07-14T12:30:24Z,84.0,Sense 2
2025-07-14T12:30:26Z,84.0,Sense 2
2025-07-14T12:30:28Z,83.0,Sense 2
2025-07-14T12:30:31Z,83.0,Sense 2
2025-07-14T12:30:34Z,83.0,Sense 2
2025-07-14T12:30:35Z,84.0,Sense 2
2025-07-14T12:30:38Z,84.0,Sense 2
2025-07-14T12:30:41Z,85.0,Sense 2
2025-07-14T12:30:44Z,85.0,Sense 2
2025-07-14T12:30:47Z,86.0,Sense 2
2025-07-14T12:30:50Z,86.0,Sense 2
2025-07-14T12:30:51Z,85.0,Sense 2
