timestamp,value
2025-08-17T10:00:38Z,91.3
2025-08-17T10:01:38Z,91.1
2025-08-17T10:02:38Z,91.4
2025-08-17T10:03:38Z,91.4
2025-08-17T10:04:38Z,91.7
2025-08-17T10:05:38Z,91.7
2025-08-17T10:06:38Z,91.5
2025-08-17T10:07:38Z,91.5
2025-08-17T10:08:38Z,91.0
2025-08-17T10:09:38Z,90.8
2025-08-17T10:10:38Z,90.5
2025-08-17T10:11:38Z,91.0
2025-08-17T10:12:38Z,50.0
2025-08-17T10:13:38Z,50.0
2025-08-17T10:14:38Z,93.2
2025-08-17T10:15:38Z,95.3
2025-08-17T14:43:03Z,97.9
2025-08-17T14:44:03Z,97.2
2025-08-17T14:45:03Z,96.4
2025-08-17T14:46:03Z,95.7
2025-08-17T14:47:03Z,95.2
2025-08-17T14:48:03Z,94.8
2025-08-17T14:49:03Z,94.6
2025-08-17T14:50:03Z,94.4
2025-08-17T14:51:03Z,94.2
2025-08-17T14:52:03Z,94.2
2025-08-17T14:53:03Z,94.1
2025-08-17T14:54:03Z,94.1
2025-08-17T14:55:03Z,93.9
2025-08-17T14:56:03Z,93.8
2025-08-17T14:57:03Z,93.6
2025-08-17T14:58:03Z,93.6
2025-08-17T14:59:03Z,93.5
2025-08-17T15:00:03Z,93.5
2025-08-17T15:01:03Z,93.6
2025-08-17T15:02:03Z,93.5
2025-08-17T15:03:03Z,93.5
2025-08-17T15:04:03Z,93.5
2025-08-17T15:05:03Z,93.5
2025-08-17T15:06:03Z,93.4
2025-08-17T15:07:03Z,93.3
2025-08-17T15:08:03Z,50.0
2025-08-17T15:09:03Z,91.4
2025-08-17T15:10:03Z,81.3
2025-08-17T15:11:03Z,76.0
2025-08-17T15:12:03Z,75.8
2025-08-17T15:13:03Z,76.8
2025-08-17T15:14:03Z,77.7
2025-08-17T15:15:03Z,78.6
2025-08-17T15:16:03Z,79.2
2025-08-17T15:17:03Z,80.1
2025-08-17T15:18:03Z,81.1
2025-08-17T15:19:03Z,81.8
2025-08-17T15:20:03Z,82.4
2025-08-17T15:21:03Z,82.9
2025-08-17T15:22:03Z,83.2
2025-08-17T15:23:03Z,83.2
2025-08-17T15:24:03Z,83.1
2025-08-17T15:25:03Z,83.6
2025-08-17T15:26:03Z,83.6
2025-08-17T15:27:03Z,83.4
2025-08-17T15:28:03Z,83.7
2025-08-17T15:29:03Z,83.8
2025-08-17T15:30:03Z,83.3
2025-08-17T15:31:03Z,83.6
2025-08-17T15:32:03Z,83.5
2025-08-17T15:33:03Z,84.1
2025-08-17T15:34:03Z,84.2
2025-08-17T15:35:03Z,84.1
2025-08-17T15:36:03Z,83.8
2025-08-17T15:37:03Z,83.6
2025-08-17T15:38:03Z,83.7
2025-08-17T15:39:03Z,83.6
2025-08-17T15:40:03Z,83.6
2025-08-17T15:41:03Z,83.4
2025-08-17T15:42:03Z,83.4
2025-08-17T15:43:03Z,83.3
2025-08-17T15:44:03Z,83.7
2025-08-17T15:45:03Z,83.9
2025-08-17T15:46:03Z,84.3
2025-08-17T15:47:03Z,84.5
2025-08-17T15:48:03Z,84.7
2025-08-17T15:49:03Z,84.8
2025-08-17T15:50:03Z,85.0
2025-08-17T15:51:03Z,85.5
2025-08-17T15:52:03Z,85.9
2025-08-17T15:53:03Z,85.8
2025-08-17T15:54:03Z,86.1
2025-08-17T15:55:03Z,85.7
2025-08-17T15:56:03Z,85.6
2025-08-17T15:57:03Z,86.5
2025-08-17T15:58:03Z,87.6
2025-08-17T15:59:03Z,88.1
2025-08-17T16:00:03Z,88.5
2025-08-17T16:01:03Z,88.5
2025-08-17T16:02:03Z,88.4
2025-08-17T16:03:03Z,88.1
2025-08-17T16:04:03Z,88.7
2025-08-17T16:05:03Z,90.2
2025-08-17T16:06:03Z,50.0
2025-08-17T16:07:03Z,90.3
2025-08-17T16:08:03Z,92.0
2025-08-17T16:09:03Z,89.4
2025-08-17T16:10:03Z,88.5
2025-08-17T16:11:03Z,89.4
2025-08-17T16:12:03Z,91.3
2025-08-17T16:13:03Z,92.1
2025-08-17T16:14:03Z,92.7
2025-08-17T16:15:03Z,93.1
2025-08-17T16:16:03Z,93.2
2025-08-17T16:17:03Z,93.0
2025-08-17T16:18:03Z,50.0
2025-08-17T16:19:03Z,50.0
2025-08-17T16:20:03Z,50.0
2025-08-17T16:21:03Z,88.2
2025-08-17T16:22:03Z,86.9
2025-08-17T16:23:03Z,85.0
2025-08-17T16:24:03Z,84.5
2025-08-17T16:25:03Z,84.6
2025-08-17T16:26:03Z,85.8
2025-08-17T16:27:03Z,86.4
2025-08-17T16:28:03Z,86.2
2025-08-17T16:29:03Z,88.0
2025-08-17T16:30:03Z,50.0
2025-08-17T16:31:03Z,88.3
2025-08-17T16:32:03Z,86.0
2025-08-17T16:33:03Z,85.3
2025-08-17T16:34:03Z,85.3
2025-08-17T16:35:03Z,85.2
2025-08-17T16:36:03Z,85.4
2025-08-17T16:37:03Z,85.8
2025-08-17T16:38:03Z,85.7
2025-08-17T16:39:03Z,85.1
2025-08-17T16:40:03Z,84.6
2025-08-17T16:41:03Z,84.3
2025-08-17T16:42:03Z,83.6
2025-08-17T16:43:03Z,50.0
2025-08-17T16:44:03Z,50.0
2025-08-17T16:45:03Z,84.3
2025-08-17T16:46:03Z,86.7
2025-08-17T16:47:03Z,88.7
2025-08-17T16:48:03Z,90.2
2025-08-17T16:49:03Z,91.5
2025-08-17T16:50:03Z,92.6
2025-08-17T16:51:03Z,93.4
2025-08-17T16:52:03Z,93.4
2025-08-17T16:53:03Z,92.3
2025-08-17T16:54:03Z,91.6
2025-08-17T16:55:03Z,89.5
2025-08-17T16:56:03Z,50.0
2025-08-17T16:57:03Z,87.2
2025-08-17T16:58:03Z,85.4
2025-08-17T16:59:03Z,84.6
2025-08-17T17:00:03Z,84.9
2025-08-17T17:01:03Z,86.9
2025-08-17T17:02:03Z,88.3
2025-08-17T17:03:03Z,89.0
2025-08-17T17:04:03Z,88.8
2025-08-17T17:05:03Z,87.9
2025-08-17T17:06:03Z,87.7
2025-08-17T17:07:03Z,87.8
2025-08-17T17:08:03Z,86.7
2025-08-17T17:09:03Z,86.6
2025-08-17T17:10:03Z,86.9
2025-08-17T17:11:03Z,86.5
2025-08-17T17:12:03Z,85.7
2025-08-17T17:13:03Z,85.4
2025-08-17T17:14:03Z,85.1
2025-08-17T17:15:03Z,84.9
2025-08-17T17:16:03Z,84.8
2025-08-17T20:18:34Z,82.2
2025-08-17T20:19:34Z,79.7
2025-08-17T20:20:34Z,76.9
2025-08-17T20:21:34Z,76.6
2025-08-17T20:22:34Z,77.1
2025-08-17T20:23:34Z,77.8
2025-08-17T20:24:34Z,77.4
2025-08-17T20:25:34Z,78.0
2025-08-17T20:26:34Z,79.0
